acronym,expansions,description
SWAYAM PRABHA,SWAYAM PRABHA,Group of DTH channels broadcasting educational programs
NIPUN BHARAT,National Initiative for Proficiency in Reading with Understanding and Numeracy,National mission for ensuring foundational literacy and numeracy by Grade 3
DIKSHA,Digital Infrastructure for Knowledge Sharing,National platform for school education with engaging learning material
NEP,National Education Policy,"New education policy of 2020 replacing the 1986 NPE, focusing on holistic and multidisciplinary education"
NPE,National Policy on Education,"Framework for education development in India (1986, modified in 1992, and NEP 2020)"
GIAN,Global Initiative of Academic Networks,Scheme for tapping talent pool of scientists and entrepreneurs abroad for higher education
KGBV,Kasturba Gandhi Balika Vidyalaya,"Residential schools for girls from SC, ST, OBC, and minority communities"
KVS,Kendriya Vidyalaya Sangathan,Autonomous body for establishing and managing Kendriya Vidyalayas for children of transferable central government employees
MID DAY MEAL,Mid Day Meal Scheme,School meal program to improve nutritional status of school-age children
NVS,Navodaya Vidyalaya Samiti,Autonomous body for establishing and managing Jawahar Navodaya Vidyalayas
PM SHRI,PM Schools for Rising India,Scheme for upgrading existing schools to exemplar schools
PADHE BHARAT BADHE BHARAT,Padhe Bharat Badhe Bharat,Program for improving reading and writing skills in early grades
RMSA,Rashtriya Madhyamik Shiksha Abhiyan,Government program for universalization of secondary education (now integrated with Samagra Shiksha)
SPARC,Scheme for Promotion of Academic and Research Collaboration,Scheme for improving research ecosystem in India through international collaboration
SSA,Sarva Shiksha Abhiyan,Government program for universalization of elementary education (now integrated with Samagra Shiksha)
SAMAGRA SHIKSHA,Samagra Shiksha Abhiyan,Integrated scheme for school education from pre-school to senior secondary level
AFCAT,Air Force Common Admission Test,"Entrance exam for recruitment in Indian Air Force flying, technical, and ground duty branches"
AILET,All India Law Entrance Test,Entrance exam conducted by NLU Delhi for law programs
ALP,Assistant Loco Pilot,RRB exam for recruitment to assistant loco pilot posts
CAT,Common Admission Test,National level entrance exam for admission to MBA programs in IIMs and other B-schools
CDS,Combined Defence Services,"Entrance examination for recruitment into Indian Military Academy, Naval Academy, and Air Force Academy"
CEED,Common Entrance Exam for Design,Joint entrance exam for admission to Master of Design and PhD programs in design
CGL,Combined Graduate Level,SSC exam for recruitment to Group B and C posts in various ministries
CHSL,Combined Higher Secondary Level,SSC exam for recruitment to lower division clerks and data entry operators
CLAT,Common Law Admission Test,National level entrance exam for admission to undergraduate and postgraduate law programs in NLUs
CMAT,Common Management Admission Test,National level entrance examination for admission to management programs
CMS,Combined Medical Services,UPSC conducted exam for recruitment to medical services in government organizations
CSE,Civil Services Examination,"UPSC conducted exam for recruitment to IAS, IPS, IFS, and other central services"
CSIR NET,Council of Scientific and Industrial Research National Eligibility Test,National level test for determining eligibility for lectureship and Junior Research Fellowship in science subjects
GATE,Graduate Aptitude Test in Engineering,"National level examination for admission to postgraduate programs in IITs and IISc, and for PSU recruitment"
GROUP D,Group D,RRB exam for recruitment to Level 1 posts in Indian Railways
IBSAT,ICFAI Business School Aptitude Test,Entrance exam for admission to ICFAI Business School programs
ICAR AIEEA,Indian Council of Agricultural Research All India Entrance Examination for Admission,Entrance exam for admission to agricultural universities
IES,Indian Engineering Services,UPSC conducted exam for recruitment to engineering services in various government departments
IIFT,Indian Institute of Foreign Trade,Entrance exam for admission to MBA in International Business at IIFT
ISS,Indian Statistical Service,UPSC conducted exam for recruitment to statistical services
JAM,Joint Admission Test for Masters,Entrance exam for admission to M.Sc. and integrated PhD programs at IITs and IISc
JE,Junior Engineer,SSC exam for recruitment to junior engineer posts in various departments
JEE,Joint Entrance Examination,"National level engineering entrance examination for admission to IITs, NITs, and other engineering colleges"
JEE ADVANCED,Joint Entrance Examination Advanced,Second stage of JEE for admission to IITs and IISc
JEE MAIN,Joint Entrance Examination Main,"First stage of JEE for admission to NITs, IIITs, and other CFTIs; also qualifier for JEE Advanced"
LSAT,Law School Admission Test,Standardized test for admission to law schools (used by some private universities in India)
MAT,Management Aptitude Test,Standardized test for admission to MBA and allied programs in B-schools
MTS,Multi Tasking Staff,SSC exam for recruitment to non-technical staff in various ministries
NATA,National Aptitude Test in Architecture,National level aptitude test for admission to undergraduate architecture programs
NDA,National Defence Academy,"Entrance exam for admission to National Defence Academy for Army, Navy, and Air Force training"
NEET,National Eligibility cum Entrance Test,"Single entrance examination for admission to MBBS, BDS, AYUSH, and other medical courses in India"
NEET PG,National Eligibility cum Entrance Test Postgraduate,"Entrance examination for admission to MD, MS, and PG Diploma courses"
NEET SS,National Eligibility cum Entrance Test Super Specialty,Entrance examination for admission to DM and MCh courses
NEET UG,National Eligibility cum Entrance Test Undergraduate,Undergraduate medical entrance examination (same as NEET)
NID DAT,National Institute of Design Design Aptitude Test,Entrance exam for admission to design programs at NID
NIFT EE,National Institute of Fashion Technology Entrance Exam,Entrance exam for admission to fashion technology programs at NIFT
NMAT,NMIMS Management Aptitude Test,Entrance exam for admission to NMIMS University management programs
NTPC,Non-Technical Popular Categories,RRB exam for recruitment to non-technical posts in Indian Railways
PO,Probationary Officer,Bank exam for recruitment to probationary officer posts in public sector banks
RBI ASSISTANT,Reserve Bank of India Assistant,Exam for recruitment to assistant posts in RBI
RBI GRADE B,Reserve Bank of India Grade B Officer,Exam for recruitment to Grade B officer posts in RBI
SBI CLERK,State Bank of India Clerk,Exam for recruitment to clerk posts in State Bank of India
SBI PO,State Bank of India Probationary Officer,Exam for recruitment to PO posts in State Bank of India
SLET,State Level Eligibility Test,State-level eligibility test for lectureship (now largely replaced by SET)
SNAP,Symbiosis National Aptitude Test,Entrance exam for admission to MBA programs in Symbiosis International University
SO,Specialist Officer,Bank exam for recruitment to specialist officer posts
UCEED,Undergraduate Common Entrance Exam for Design,Entrance exam for admission to Bachelor of Design programs at IITs
UGC NET,University Grants Commission National Eligibility Test,National level test for determining eligibility for Assistant Professor and Junior Research Fellowship
XAT,Xavier Aptitude Test,Entrance exam conducted by XLRI for admission to management programs
CSIR JRF,Council of Scientific and Industrial Research Junior Research Fellowship,Fellowship for CSIR NET qualified candidates in science subjects
DBT JRF,Department of Biotechnology Junior Research Fellowship,Fellowship for biotech research through BET examination
ICMR JRF,Indian Council of Medical Research Junior Research Fellowship,Fellowship for medical research
MANF,Maulana Azad National Fellowship,Fellowship for minority students to pursue M.Phil and PhD
NFOBC,National Fellowship for OBC,Fellowship for OBC students to pursue higher education and research
NFPWD,National Fellowship for Persons with Disabilities,Fellowship for students with disabilities to pursue higher education
NFSC,National Fellowship for SC,Fellowship for SC students to pursue higher education and research
NFST,National Fellowship for ST,Fellowship for ST students to pursue higher education and research
PMRF,Prime Minister's Research Fellowship,Fellowship for meritorious students pursuing PhD in IITs and IISc
RGNF,Rajiv Gandhi National Fellowship,Fellowship for students from SC/ST categories to pursue higher education (now renamed to NFOBC/NFSC)
UGC JRF,University Grants Commission Junior Research Fellowship,Fellowship for NET qualified candidates to pursue research leading to PhD
DBT,Department of Biotechnology,Department for promotion of biotechnology research and development
DST,Department of Science and Technology,Department for promotion of science and technology in India
MSDE,Ministry of Skill Development and Entrepreneurship,Ministry for skill development and entrepreneurship
MHRD,Ministry of Human Resource Development,"Former name of Ministry of Education, Government of India"
MOE,Ministry of Education,Current name of the ministry responsible for education in India
RUSA,Rashtriya Uchchatar Shiksha Abhiyan,Centrally sponsored scheme for funding state higher educational institutions
TEQIP,Technical Education Quality Improvement Programme,World Bank assisted program for improving quality of technical education
A LEVELS,Advanced Levels,Subject-based qualifications for 16-18 year olds in UK curriculum
AS LEVELS,Advanced Subsidiary Levels,Standalone qualifications or first half of A Levels
IB,International Baccalaureate,International educational foundation offering four educational programs
IGCSE,International General Certificate of Secondary Education,International English language curriculum for 14-16 year olds
DUOLINGO,Duolingo English Test,Online English proficiency test
GMAT,Graduate Management Admission Test,Standardized test for admission to MBA programs globally
GRE,Graduate Record Examination,Standardized test for admission to graduate schools in the United States
IELTS,International English Language Testing System,International standardized test of English language proficiency
PTE,Pearson Test of English,Computer-based English language test
SAT,Scholastic Assessment Test,Standardized test for college admissions in the United States
TOEFL,Test of English as a Foreign Language,Standardized test to measure English language ability
AP,Advanced Placement,Program offering college-level curricula and examinations to high school students
SWAYAM,Study Webs of Active-Learning for Young Aspiring Minds,National MOOC platform offering courses from school to post-graduate level
LAN,Local Area Network,Network connecting computers in limited area
MAN,Metropolitan Area Network,Network spanning a city or large campus
WAN,Wide Area Network,Network spanning large geographical area
WLAN,Wireless Local Area Network,Wireless computer network
MOOC,Massive Open Online Course,Online course aimed at unlimited participation and open access
PM EVIDYA,PM eVIDYA,Initiative for multi-mode access to digital education
NIOS,National Institute of Open Schooling,Board for distance education at school level providing flexible learning opportunities
IGNOU,Indira Gandhi National Open University,National open university for distance and open learning
SIOU,State Open Universities,State-level open universities providing distance education
FLIPPED CLASSROOM,Flipped Classroom,Instructional strategy where direct instruction moves to individual space
ABL,Activity Based Learning,Method of learning where activities are the basis of learning
BLENDED LEARNING,Blended Learning,Combination of online and face-to-face learning
CBL,Competency Based Learning,Approach to teaching and learning based on demonstrating mastery of skills
HYBRID LEARNING,Hybrid Learning,Flexible learning combining in-person and online elements
OBE,Outcome-Based Education,Education based on achieving specific outcomes
PBL,Project Based Learning,Teaching method in which students learn by actively engaging in real-world projects
TBL,Team-Based Learning,Collaborative learning in structured teams
BYOD,Bring Your Own Device,Policy allowing employees/students to use personal devices
NITI AAYOG,National Institution for Transforming India Aayog,Premier policy think tank of the Government of India
AIIMS,All India Institute of Medical Sciences,Group of autonomous public medical colleges for higher medical education and research
FTII,Film and Television Institute of India,Premier institute for film education and television training
IIIT,Indian Institute of Information Technology,Institutes focused on information technology education and research
IIM,Indian Institute of Management,Autonomous public business schools for management education
IISER,Indian Institute of Science Education and Research,Group of science education and research institutes established by the Government of India
IISC,Indian Institute of Science,Premier institution for advanced scientific and technological research and education located in Bangalore
IIT,Indian Institute of Technology,"Autonomous public technical universities governed by Institutes of Technology Act, 1961"
NID,National Institute of Design,Premier institute for design education and research
NIFT,National Institute of Fashion Technology,"Premier institute for fashion design, technology, and management education"
NIT,National Institute of Technology,"Autonomous public technical universities under the NIT Act, 2007"
NLSIU,National Law School of India University,Premier law university located in Bangalore
NLU,National Law University,Autonomous law universities established under the respective state legislations
SRFTI,Satyajit Ray Film and Television Institute,Institute for film and television studies named after filmmaker Satyajit Ray
AMITY,Amity University,Private university group with multiple campuses across India
BITS,Birla Institute of Technology and Science,"Private deemed university with campuses in Pilani, Goa, and Hyderabad"
ICFAI,Institute of Chartered Financial Analysts of India,"Private university group offering programs in management, finance, and law"
LPU,Lovely Professional University,"Private university in Jalandhar, Punjab"
MANIPAL,Manipal Academy of Higher Education,"Private deemed university based in Manipal, Karnataka"
SRM,SRM Institute of Science and Technology,Private deemed university with campuses in multiple locations
VIT,Vellore Institute of Technology,"Private deemed university in Vellore, Tamil Nadu"
ARWU,Academic Ranking of World Universities,Global university ranking by ShanghaiRanking Consultancy
QS,Quacquarelli Symonds,Global higher education ranking organization
WEBOMETRICS,Webometrics Ranking of World Universities,Ranking system based on web presence and impact
NIRF,National Institutional Ranking Framework,Framework by MHRD (now Ministry of Education) for ranking institutions of higher education in India
GIC,General Insurance Corporation,Reinsurance company conducting recruitment exams
IBPS,Institute of Banking Personnel Selection,Autonomous body for recruitment to public sector banks
LIC,Life Insurance Corporation of India,Insurance company conducting recruitment exams
NABARD,National Bank for Agriculture and Rural Development,Development bank conducting recruitment for various posts
NICL,National Insurance Company Limited,Insurance company conducting recruitment exams
OICL,Oriental Insurance Company Limited,Insurance company conducting recruitment exams
RBI,Reserve Bank of India,Central bank of India conducting recruitment exams for various posts
RRB,Railway Recruitment Board,Organization under Ministry of Railways for recruiting staff
SSC,Staff Selection Commission|Sainik School Society,Government organization for recruiting staff for various ministries and departments
UIICL,United India Insurance Company Limited,Insurance company conducting recruitment exams
UPSC,Union Public Service Commission,India's central recruiting agency conducting examinations for All India services and central services
AICTE,All India Council for Technical Education,Statutory body for proper planning and coordinated development of technical education system in India
BCI,Bar Council of India,Statutory body that regulates legal education and profession of law in India
DCI,Dental Council of India,Statutory body regulating dental education and the profession of dentistry throughout India
ICAR,Indian Council of Agricultural Research,Autonomous body responsible for coordinating agricultural education and research in India
INC,Indian Nursing Council,"Statutory body that establishes uniform standards of training for nurses, midwives and health visitors"
MCI,Medical Council of India,Former statutory body for establishing uniform and high standards of medical education in India (now replaced by NMC)
NCTE,National Council for Teacher Education,Statutory body to achieve planned and coordinated development of teacher education system throughout the country
NMC,National Medical Commission,Statutory body that replaced MCI for regulating medical education and medical professionals in India
PCI,Pharmacy Council of India,Statutory body governing pharmacy profession and education in India
UGC,University Grants Commission,"Statutory body responsible for coordination, determination and maintenance of standards of university education in India"
NCERT,National Council of Educational Research and Training,Autonomous organization for assisting and advising on academic matters related to school education
SCERT,State Council of Educational Research and Training,State-level bodies for educational research and teacher training
CSIR,Council of Scientific and Industrial Research,Autonomous body and India's largest R&D organization promoting scientific and industrial research
IMPRINT,Impacting Research Innovation and Technology,Joint initiative of IITs and IISc for solving major engineering and scientific challenges
UAY,Uchchatar Avishkar Yojana,Scheme for promoting innovation in IITs
VAJRA,Visiting Advanced Joint Research Faculty Scheme,Scheme for attracting top international faculty to Indian institutions
EDUSAT,Educational Satellite,Satellite dedicated to serving the educational sector
AICTE PG SCHOLARSHIP,All India Council for Technical Education Postgraduate Scholarship,Scholarship for GATE/GPAT qualified students pursuing M.Tech/M.Pharm
CENTRAL SECTOR,Central Sector Scheme of Scholarship,Merit-based scholarship for college and university students
INSPIRE,Innovation in Science Pursuit for Inspired Research,DST scholarship program for attracting talent to science education and research
ISHAN UDAY,ISHAN UDAY,Special scholarship scheme for North Eastern Region
KVPY,Kishore Vaigyanik Protsahan Yojana,"National fellowship program in basic sciences (discontinued, merged with INSPIRE)"
NMMS,National Means-cum-Merit Scholarship,Central sector scholarship for meritorious students from economically weaker sections
NTSE,National Talent Search Examination,National level scholarship program for identifying and nurturing talented students
PG INDIRA GANDHI,Post Graduate Indira Gandhi Scholarship for Single Girl Child,Scholarship for single girl child pursuing postgraduate studies
PM YASASVI,Prime Minister Young Achievers Scholarship Award Scheme for Vibrant India,"Scholarship for OBC, EBC, and DNT students for school and college education"
PMSSS,Prime Minister's Special Scholarship Scheme,Scholarship for students from Jammu & Kashmir and Ladakh for higher education
POST MATRIC,Post Matric Scholarship,"Scholarship for students belonging to SC, ST, OBC, and minority communities for post-matriculation studies"
PRE MATRIC,Pre Matric Scholarship,Scholarship for students belonging to minority communities and SC/ST for pre-matriculation studies
TOP CLASS EDUCATION,Top Class Education for SC Students,Scholarship for SC students for pursuing studies in premier institutions
NSP,National Scholarship Portal,One-stop solution for scholarship applications and disbursement
CBSE,Central Board of Secondary Education,National level board of education for public and private schools under the Union Government of India
CISCE,Council for the Indian School Certificate Examinations,Private national level board conducting ICSE and ISC examinations
ICSE,Indian Certificate of Secondary Education,Examination conducted by CISCE for Class 10
ISC,Indian School Certificate,Examination conducted by CISCE for Class 12
JNV,Jawahar Navodaya Vidyalaya,Co-educational residential schools for talented rural children
KV,Kendriya Vidyalaya,System of central government schools under Ministry of Education
CCTV,Closed-Circuit Television,Video surveillance system
SSL,Secure Sockets Layer,Protocol for secure communication
TLS,Transport Layer Security,Cryptographic protocol for secure communication
VPN,Virtual Private Network,Technology for secure network connection
NSDC,National Skill Development Corporation,Public-private partnership for skill development
DDUGKY,Deen Dayal Upadhyaya Grameen Kaushalya Yojana,Skill training program for rural youth
NAPS,National Apprenticeship Promotion Scheme,Scheme for promoting apprenticeship training
PMKVY,Pradhan Mantri Kaushal Vikas Yojana,Flagship skill development scheme for youth
RPL,Recognition of Prior Learning,Process of recognizing skills acquired through informal learning
SANKALP,Skills Acquisition and Knowledge Awareness for Livelihood Promotion,World Bank funded program for strengthening institutional mechanisms for skill development
STRIVE,Skill Strengthening for Industrial Value Enhancement,World Bank funded program for improving quality and relevance of vocational training
NOS,National Occupational Standards,Standards describing competent performance in a job role
NSQF,National Skills Qualifications Framework,Competency-based framework for organizing qualifications
QF,Qualifications Framework,Framework for defining and classifying qualifications
QP,Qualification Pack,Set of NOSs aligned to a job role
BETI BACHAO BETI PADHAO,Beti Bachao Beti Padhao,"Scheme for survival, protection, and education of the girl child"
API,Application Programming Interface,Interface for software applications to communicate
CRM,Customer Relationship Management,Software for managing interactions with students and stakeholders
SDK,Software Development Kit,Set of tools for developing software applications
SIS,Student Information System,Software for managing student data
TMS,Training Management System,Software for managing training programs
CU,Calcutta University,State university in West Bengal and one of the oldest multidisciplinary universities in India
MU,Mumbai University,State university in Maharashtra and one of the oldest universities in India
MADRAS UNIVERSITY,University of Madras,State university in Tamil Nadu and one of the oldest universities in India
OU,Osmania University,"State university in Hyderabad, Telangana"
SPPU,Savitribai Phule Pune University,"State university in Pune, Maharashtra formerly known as University of Pune"
DM,Doctorate of Medicine|District Magistrate,"Doctorate of Medicine is a super specialty medical degree; District Magistrate is a senior district-level administrative officer"
MCH,Master of Chirurgiae,Super specialty degree in surgery
CTET,Central Teacher Eligibility Test,National level test for determining eligibility for appointment as teacher for Classes 1 to 8
TET,Teacher Eligibility Test,State-level test for determining eligibility for appointment as teacher
BED,Bachelor of Education,Undergraduate professional degree preparing students for work as teachers
BSTC,Basic School Teaching Certificate,Pre-service teacher training program for primary level teaching in Rajasthan and some states
DELED,Diploma in Elementary Education,Diploma course for training teachers at elementary level (formerly known as DEd)
DIET,District Institute of Education and Training,District-level institutes for elementary teacher education and training
MED,Master of Education,Postgraduate degree in education for advanced teacher training and educational administration
NISHTHA,National Initiative for School Heads' and Teachers' Holistic Advancement,Integrated teacher training program for improving quality of school education
AI,Artificial Intelligence,Simulation of human intelligence in machines
AR,Augmented Reality,Technology that overlays digital information on the real world
GPS,Global Positioning System,Satellite-based navigation system
IOE,Internet of Everything,"Network of networks connecting people, processes, data, and things"
IOT,Internet of Things,Network of physical objects embedded with sensors and software
ML,Machine Learning,Subset of AI focusing on learning from data
NFC,Near Field Communication,Short-range wireless communication technology
QR CODE,Quick Response Code,Two-dimensional barcode
RFID,Radio-Frequency Identification,Technology using electromagnetic fields for identification
VR,Virtual Reality,Simulated experience that can be similar to or completely different from the real world
AIU,Association of Indian Universities,Organization of universities in India for coordination and mutual benefit
NCVT,National Council for Vocational Training,Body for vocational training in India
SCVT,State Council for Vocational Training,State-level body for vocational training
ATS,Apprenticeship Training Scheme,Scheme for providing apprenticeship training in industries
CITS,Craft Instructor Training Scheme,Scheme for training craft instructors
CTS,Craftsman Training Scheme,Scheme for providing training in various trades
ITI,Industrial Training Institute,Government-run training institutes providing vocational training
CSS,Cascading Style Sheets,Style sheet language for web page presentation
HTML,HyperText Markup Language,Standard markup language for web pages
HTTP,HyperText Transfer Protocol,Protocol for transferring web pages
HTTPS,HyperText Transfer Protocol Secure,Secure version of HTTP
URL,Uniform Resource Locator,Address of a web resource
ALUMNI QUOTA,Alumni Quota,Preference in admission for children of alumni
DEFENCE QUOTA,Defence Quota,Seats reserved for children of defence personnel
EWS QUOTA,EWS Quota,25% seats reserved for EWS students in private schools under RTE
MANAGEMENT QUOTA,Management Quota,Seats reserved for school management to fill at their discretion
RTE QUOTA,RTE Quota,25% seats reserved for disadvantaged groups in private schools under RTE Act
SIBLING QUOTA,Sibling Quota,Preference in admission for siblings of existing students
SPORTS QUOTA,Sports Quota,Seats reserved for students excelling in sports
CGPA,Cumulative Grade Point Average,Cumulative average of grade points across all terms/years
GPA,Grade Point Average,Average of grade points obtained in all subjects
CCE,Continuous and Comprehensive Evaluation,Former evaluation system for holistic assessment of students
FA,Formative Assessment,Ongoing assessment during the learning process under CCE
SA,Summative Assessment,End-of-term assessment under CCE
BACKGROUND CHECK,Teacher Background Verification,Mandatory police verification for school staff
CCTV BUS,CCTV in School Buses,Surveillance cameras in school transport vehicles
CHILDLINE,Childline India Foundation,24-hour emergency phone service for children in distress (1098)
DISASTER DRILL,Disaster Management Drill,"Practice for earthquake, flood, and other disaster responses"
FIRE DRILL,Fire Safety Drill,Regular practice for fire evacuation procedures
GPS BUS,GPS in School Buses,GPS tracking system in school transport
HEALTH CARD,School Health Card,Health record maintained for each student
IRON FOLIC,Iron and Folic Acid Supplementation,Program providing IFA tablets to adolescents
LIFE SKILLS,Life Skills Education,Education for developing coping and decision-making skills
MENSTRUAL HYGIENE,Menstrual Hygiene Management,Program promoting menstrual hygiene in schools
MENTAL HEALTH,Mental Health Program,Programs promoting student mental health and well-being
POCSO ACT,Protection of Children from Sexual Offences Act,Act protecting children from sexual abuse and exploitation in schools
SWACHH VIDYALAYA,Swachh Vidyalaya Puraskar,Award for schools maintaining cleanliness and hygiene
WASH,"Water, Sanitation and Hygiene",Program for clean water and sanitation in schools
EBSB,Ek Bharat Shreshtha Bharat,Program promoting cultural exchange and language learning among states
FLN,Foundational Literacy and Numeracy,Core focus under NIPUN Bharat for classes 1-3
ONE CLASS ONE CHANNEL,One Class One TV Channel,12 dedicated Swayam Prabha channels for each class
MDM,Mid Day Meal Scheme,"School meal program to improve nutrition, attendance, and enrollment"
PM POSHAN,Pradhan Mantri Poshan Shakti Nirman,Renamed Mid Day Meal Scheme focusing on nutrition
PADHE BHARAT,Padhe Bharat Badhe Bharat,Program for improving reading and writing skills in early grades (Classes 1-2)
NROER,National Repository of Open Educational Resources,Digital repository of open educational resources by NCERT
ANNUAL EXAM,Annual Examination,Year-end examination conducted by schools
BOARD EXAM,Board Examination,Public examination conducted by education boards for classes 10 and 12
GRACE MARKS,Grace Marks,Additional marks given to help students pass
